iter	Passed	Remaining
795	62531	16025
796	62615	15948
797	62702	15872
798	62785	15794
799	62861	15715
800	62936	15635
801	63012	15556
802	63087	15477
803	63162	15397
804	63238	15318
805	63315	15239
806	63390	15160
807	63463	15080
808	63538	15000
809	63616	14922
810	63698	14844
811	63779	14766
812	63864	14689
813	63945	14611
814	64028	14534
815	64113	14456
816	64198	14379
817	64283	14302
818	64358	14223
819	64443	14146
820	64517	14066
821	64597	13988
822	64675	13909
823	64750	13830
824	64828	13751
825	64903	13672
826	64984	13594
827	65068	13516
828	65146	13437
829	65220	13358
830	65298	13279
831	65379	13201
832	65456	13122
833	65530	13043
834	65606	12964
835	65682	12884
836	65755	12805
837	65831	12726
838	65905	12646
839	65977	12567
840	66052	12487
841	66126	12408
842	66199	12328
843	66274	12249
844	66350	12170
845	66425	12091
846	66497	12011
847	66570	11932
848	66643	11852
849	66718	11773
850	66791	11694
851	66864	11614
852	66937	11535
853	67009	11455
854	67082	11376
855	67155	11297
856	67229	11218
857	67304	11138
858	67378	11059
859	67452	10980
860	67529	10901
861	67607	10823
862	67681	10744
863	67756	10665
864	67828	10586
865	67926	10510
866	68000	10431
867	68074	10352
868	68149	10273
869	68222	10194
870	68294	10114
871	68368	10035
872	68444	9956
873	68516	9877
874	68588	9798
875	68665	9719
876	68737	9640
877	68810	9561
878	68885	9482
879	68960	9403
880	69033	9324
881	69108	9245
882	69182	9166
883	69254	9087
884	69331	9009
885	69408	8930
886	69482	8851
887	69558	8773
888	69631	8694
889	69705	8615
890	69780	8536
891	69854	8457
892	69929	8379
893	70004	8300
894	70077	8221
895	70150	8142
896	70224	8063
897	70299	7985
898	70377	7906
899	70452	7828
900	70526	7749
901	70600	7670
902	70674	7591
903	70747	7512
904	70819	7434
905	70893	7355
906	70965	7276
907	71039	7197
908	71113	7119
909	71185	7040
910	71259	6961
911	71344	6884
912	71420	6805
913	71495	6727
914	71571	6648
915	71645	6570
916	71718	6491
917	71793	6412
918	71869	6334
919	71942	6255
920	72017	6177
921	72090	6098
922	72162	6020
923	72234	5941
924	72308	5862
925	72380	5784
926	72456	5705
927	72531	5627
928	72603	5548
929	72679	5470
930	72752	5391
931	72826	5313
932	72897	5234
933	72973	5156
934	73047	5078
935	73122	4999
936	73194	4921
937	73270	4843
938	73344	4764
939	73420	4686
940	73493	4608
941	73565	4529
942	73638	4451
943	73713	4372
944	73784	4294
945	73858	4216
946	73931	4137
947	74003	4059
948	74075	3980
949	74149	3902
950	74223	3824
951	74296	3746
952	74371	3667
953	74444	3589
954	74516	3511
955	74589	3432
956	74661	3354
957	74735	3276
958	74809	3198
959	74898	3120
960	74975	3042
961	75054	2964
962	75129	2886
963	75202	2808
964	75279	2730
965	75357	2652
966	75430	2574
967	75507	2496
968	75581	2417
969	75654	2339
970	75726	2261
971	75803	2183
972	75875	2105
973	75949	2027
974	76024	1949
975	76098	1871
976	76170	1793
977	76244	1715
978	76317	1637
979	76392	1559
980	76467	1481
981	76540	1402
982	76612	1324
983	76687	1246
984	76762	1168
985	76834	1090
986	76906	1012
987	76981	935
988	77054	857
989	77125	779
990	77199	701
991	77272	623
992	77346	545
993	77420	467
994	77492	389
995	77566	311
996	77641	233
997	77715	155
998	77788	77
999	77862	0
